t0,V,family,job_id,campaign,source,compact_sha256,full_sha256,config_sha256
1.2,0.2,stripe_weak_other,58394103,20260915_square_t012_vp02_four_seeds_60,output/phase1_gpu/20260915_square_t012_vp02_four_seeds_60/results/square__stripe_weak_other_t012_vp02_chi200_raw/square__stripe_weak_other__square_positive_v_four_reference_and_intertwined_raw__none__stripe_weak_other/20260918T084323_905799_a994c1ee7bf7/state.h5,3b22d02a21e21e655227fb3c97f2c8efcc48c96c572d7ce2539b9f6d01e7a7b6,eb44ce8394db73cdf2975835604a637656dafc8ffe9df44d45e65357fc6e83bc,3d1df4e9e0c0fbaff63c59dae0694f955f879291aeef12d3c0f7907192a1b02f
1.2,0.2,pairing_weak_other,58394104,20260915_square_t012_vp02_four_seeds_60,output/phase1_gpu/20260915_square_t012_vp02_four_seeds_60/results/square__pairing_weak_other_t012_vp02_chi200_raw/square__pairing_weak_other__square_positive_v_four_reference_and_intertwined_raw__none__pairing_weak_other/20260918T094307_2071823_a994c1ee7bf7/state.h5,42afc6e7c9f44e7dd9d492031899b7a51128f06e27559d445719cf4aa5f6b3ca,7a8ebb64e6d59745218baa7688747d730eade3b974bf8727a88f51788cf2cfaa,226807342b2bc2b14456801d6f26450ccb4f6606a95db960fcfd518ffb5aa49d
1.2,0.2,intertwined_lambda16,58394106,20260915_square_t012_vp02_four_seeds_60,output/phase1_gpu/20260915_square_t012_vp02_four_seeds_60/results/square__intertwined_lambda16_t012_vp02_chi200_raw/square__intertwined_lambda16__square_positive_v_four_reference_and_intertwined_raw__none__intertwined_lambda16/20260918T102941_1089707_a994c1ee7bf7/state.h5,2b664101ab04a5a0b92098c3bf2b938c8b5b9bf22e4e84427a78382ab74926b9,30e5df4e931eab420aae3d199086ad1bbf23822ab2884f7997cc1c0940700e72,9fc233d467f791e330ea869ba345ad790e7def3f7b384947449ae429f09cf538
